condition,Omega,diff_mean,diff_sd,CI2.5,CI97.5,abs_diff_mean,abs_diff_sd,abs_CI2.5,abs_CI97.5,cor_flip,comorbidity,Var1,Var2
Restless_legs_syndrome,Omega12,0.3,0.05,0.21,0.4,0.3,0.05,0.21,0.4,Same,Cardiovascular : Pain,Cardiovascular,Pain
Restless_legs_syndrome,Omega13,0.17,0.05,0.08,0.26,0.17,0.05,0.08,0.26,Same,Arthritis : Pain,Arthritis,Pain
Restless_legs_syndrome,Omega14,0.19,0.05,0.09,0.3,0.19,0.05,0.09,0.3,Same,Anxiety : Pain,Anxiety,Pain
Restless_legs_syndrome,Omega15,-0.07,0.06,-0.18,0.04,0.07,0.05,0,0.18,Same,Acid-related disease : Pain,Acid-related disease,Pain
Restless_legs_syndrome,Omega16,0.13,0.06,0.01,0.25,0.13,0.06,0.02,0.25,Same,Asthma : Pain,Asthma,Pain
Restless_legs_syndrome,Omega23,0.3,0.04,0.21,0.38,0.3,0.04,0.21,0.38,Same,Arthritis : Cardiovascular,Arthritis,Cardiovascular
Restless_legs_syndrome,Omega24,0.06,0.05,-0.04,0.16,0.07,0.04,0,0.16,Same,Anxiety : Cardiovascular,Anxiety,Cardiovascular
Restless_legs_syndrome,Omega25,-0.15,0.05,-0.25,-0.04,0.15,0.05,0.04,0.25,Same,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
Restless_legs_syndrome,Omega26,0.03,0.06,-0.09,0.15,0.05,0.04,0,0.15,Same,Asthma : Cardiovascular,Asthma,Cardiovascular
Restless_legs_syndrome,Omega34,0.04,0.05,-0.06,0.14,0.06,0.04,0,0.14,Same,Anxiety : Arthritis,Anxiety,Arthritis
Restless_legs_syndrome,Omega35,0.12,0.06,-0.01,0.23,0.12,0.06,0.01,0.23,Same,Acid-related disease : Arthritis,Acid-related disease,Arthritis
Restless_legs_syndrome,Omega36,0.01,0.06,-0.1,0.13,0.05,0.04,0,0.14,Same,Arthritis : Asthma,Arthritis,Asthma
Restless_legs_syndrome,Omega45,0.1,0.06,-0.01,0.22,0.11,0.06,0.01,0.22,Same,Acid-related disease : Anxiety,Acid-related disease,Anxiety
Restless_legs_syndrome,Omega46,0.05,0.06,-0.07,0.17,0.06,0.05,0,0.17,Same,Anxiety : Asthma,Anxiety,Asthma
Restless_legs_syndrome,Omega56,-0.06,0.07,-0.18,0.08,0.07,0.05,0,0.18,Same,Acid-related disease : Asthma,Acid-related disease,Asthma
Rheumatoid_arthritis,Omega12,0.21,0.03,0.16,0.27,0.21,0.03,0.16,0.27,Same,Cardiovascular : Pain,Cardiovascular,Pain
Rheumatoid_arthritis,Omega13,0.09,0.04,0.02,0.16,0.09,0.04,0.02,0.16,Same,Acid-related disease : Pain,Acid-related disease,Pain
Rheumatoid_arthritis,Omega14,0.06,0.05,-0.03,0.15,0.06,0.04,0,0.15,Same,Asthma : Pain,Asthma,Pain
Rheumatoid_arthritis,Omega15,0.02,0.03,-0.05,0.08,0.03,0.02,0,0.08,Same,Anxiety : Pain,Anxiety,Pain
Rheumatoid_arthritis,Omega16,0.25,0.04,0.16,0.33,0.25,0.04,0.16,0.33,Flipped,Osteoporosis : Pain,Osteoporosis,Pain
Rheumatoid_arthritis,Omega23,0.01,0.04,-0.06,0.08,0.03,0.02,0,0.09,Same,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
Rheumatoid_arthritis,Omega24,0.06,0.05,-0.03,0.16,0.07,0.04,0,0.16,Same,Asthma : Cardiovascular,Asthma,Cardiovascular
Rheumatoid_arthritis,Omega25,-0.04,0.04,-0.11,0.03,0.04,0.03,0,0.11,Same,Anxiety : Cardiovascular,Anxiety,Cardiovascular
Rheumatoid_arthritis,Omega26,0,0.04,-0.08,0.09,0.03,0.03,0,0.1,Same,Cardiovascular : Osteoporosis,Cardiovascular,Osteoporosis
Rheumatoid_arthritis,Omega34,0.13,0.06,0.01,0.24,0.13,0.06,0.02,0.24,Same,Acid-related disease : Asthma,Acid-related disease,Asthma
Rheumatoid_arthritis,Omega35,0.01,0.05,-0.08,0.1,0.04,0.03,0,0.1,Same,Acid-related disease : Anxiety,Acid-related disease,Anxiety
Rheumatoid_arthritis,Omega36,0.11,0.05,0,0.21,0.11,0.05,0.01,0.21,Same,Acid-related disease : Osteoporosis,Acid-related disease,Osteoporosis
Rheumatoid_arthritis,Omega45,-0.02,0.05,-0.12,0.07,0.04,0.03,0,0.12,Same,Anxiety : Asthma,Anxiety,Asthma
Rheumatoid_arthritis,Omega46,0.17,0.07,0.04,0.31,0.17,0.07,0.04,0.31,Flipped,Asthma : Osteoporosis,Asthma,Osteoporosis
Rheumatoid_arthritis,Omega56,0.02,0.05,-0.08,0.12,0.04,0.03,0,0.12,Same,Anxiety : Osteoporosis,Anxiety,Osteoporosis
Systemic_Lupus_Erythematosus,Omega12,0.25,0.06,0.12,0.37,0.25,0.06,0.12,0.37,Flipped,Cardiovascular : Pain,Cardiovascular,Pain
Systemic_Lupus_Erythematosus,Omega13,0.08,0.06,-0.03,0.2,0.09,0.05,0,0.2,Same,Arthritis : Pain,Arthritis,Pain
Systemic_Lupus_Erythematosus,Omega14,0.02,0.06,-0.11,0.15,0.05,0.04,0,0.15,Same,Anxiety : Pain,Anxiety,Pain
Systemic_Lupus_Erythematosus,Omega15,0.21,0.07,0.07,0.35,0.21,0.07,0.07,0.35,Flipped,Acid-related disease : Pain,Acid-related disease,Pain
Systemic_Lupus_Erythematosus,Omega16,-0.19,0.08,-0.34,-0.04,0.19,0.08,0.05,0.34,Same,Asthma : Pain,Asthma,Pain
Systemic_Lupus_Erythematosus,Omega23,0.43,0.06,0.3,0.55,0.43,0.06,0.3,0.55,Flipped,Arthritis : Cardiovascular,Arthritis,Cardiovascular
Systemic_Lupus_Erythematosus,Omega24,0.05,0.07,-0.08,0.19,0.07,0.05,0,0.19,Same,Anxiety : Cardiovascular,Anxiety,Cardiovascular
Systemic_Lupus_Erythematosus,Omega25,-0.01,0.07,-0.15,0.13,0.06,0.04,0,0.16,Same,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
Systemic_Lupus_Erythematosus,Omega26,0.07,0.08,-0.08,0.23,0.09,0.06,0,0.23,Same,Asthma : Cardiovascular,Asthma,Cardiovascular
Systemic_Lupus_Erythematosus,Omega34,-0.17,0.07,-0.3,-0.04,0.17,0.07,0.04,0.3,Same,Anxiety : Arthritis,Anxiety,Arthritis
Systemic_Lupus_Erythematosus,Omega35,0.26,0.06,0.15,0.37,0.26,0.06,0.15,0.37,Same,Acid-related disease : Arthritis,Acid-related disease,Arthritis
Systemic_Lupus_Erythematosus,Omega36,-0.11,0.08,-0.26,0.04,0.11,0.07,0.01,0.26,Same,Arthritis : Asthma,Arthritis,Asthma
Systemic_Lupus_Erythematosus,Omega45,0.15,0.08,-0,0.3,0.15,0.07,0.02,0.3,Flipped,Acid-related disease : Anxiety,Acid-related disease,Anxiety
Systemic_Lupus_Erythematosus,Omega46,0.05,0.08,-0.09,0.2,0.07,0.05,0,0.2,Same,Anxiety : Asthma,Anxiety,Asthma
Systemic_Lupus_Erythematosus,Omega56,0.08,0.09,-0.1,0.26,0.1,0.07,0,0.26,Same,Acid-related disease : Asthma,Acid-related disease,Asthma
