condition,condition_n,comorbidity_n,como_prop,prop_se,repo,se_min,se_max,comorbidity
Asthma,1627,271,16.65642286416718,0.00923704715715877,Trials,16.638318251739147,16.674527476595213,Cardiovascular
Asthma,1627,210,12.907191149354642,0.00831214753565812,Trials,12.890899340184752,12.92348295852453,Pain
Asthma,1627,183,11.247695144437616,0.00783299432824875,Trials,11.232342475554248,11.263047813320984,Acid-related disease
Asthma,1627,163,10.018438844499078,0.00744359972482987,Trials,10.003849389038413,10.033028299959746,Arthritis
Asthma,1627,156,9.58819913952059,0.0072994024021123,Trials,9.57389231081245,9.60250596822873,Inflammatory disorders
Asthma,1627,101,6.207744314689613,0.00598214071198566,Trials,6.1960193188941215,6.219469310485104,Anxiety
Axial_Spondyloarthritis,352,127,36.07954545454545,0.02559641390702965,Trials,36.02937648328768,36.12971442580323,Pain
Axial_Spondyloarthritis,352,56,15.909090909090908,0.01949511825079093,Trials,15.87088047731936,15.947301340862458,Cardiovascular
Axial_Spondyloarthritis,352,44,12.5,0.01762737733805519,Trials,12.465450340417412,12.534549659582588,Anxiety
Axial_Spondyloarthritis,352,18,5.113636363636364,0.01174074054289132,Trials,5.0906245121722975,5.136648215100431,Asthma
Axial_Spondyloarthritis,352,11,3.125,0.00927383867698906,Trials,3.1068232761931016,3.1431767238068984,Acid-related disease
Axial_Spondyloarthritis,352,10,2.840909090909091,0.00885521393388103,Trials,2.823552871598684,2.8582653102194975,Diabetes
Benign_Prostatic_Hyperplasia,2816,1273,45.205965909090914,0.00937881974671914,Trials,45.18758342238734,45.224348395794486,Cardiovascular
Benign_Prostatic_Hyperplasia,2816,360,12.784090909090908,0.00629240193464662,Trials,12.771757801299,12.796424016882815,Arthritis
Benign_Prostatic_Hyperplasia,2816,231,8.203125,0.00517115181442862,Trials,8.19298954244372,8.21326045755628,Acid-related disease
Benign_Prostatic_Hyperplasia,2816,177,6.285511363636363,0.00457359129478356,Trials,6.276547124698587,6.294475602574139,Pain
Benign_Prostatic_Hyperplasia,2816,161,5.717329545454546,0.00437518302139146,Trials,5.708754186732619,5.725904904176473,Asthma
Benign_Prostatic_Hyperplasia,2816,149,5.291193181818182,0.00421847681310137,Trials,5.282924967264503,5.299461396371861,Anxiety
Dementia_any,5811,1271,21.872311134056098,0.00542281000376727,Trials,21.861682426448713,21.88293984166348,Cardiovascular
Dementia_any,5811,822,14.145585957666496,0.00457158024747012,Trials,14.136625660381457,14.154546254951535,Anxiety
Dementia_any,5811,533,9.172259507829978,0.00378636070446813,Trials,9.16483824084922,9.179680774810736,Pain
Dementia_any,5811,518,8.914128377215626,0.00373800186486938,Trials,8.906801893560482,8.921454860870769,Arthritis
Dementia_any,5811,330,5.678884873515746,0.00303606145256939,Trials,5.67293419306871,5.684835553962782,Acid-related disease
Dementia_any,5811,186,3.200826019617966,0.00230909298735741,Trials,3.1963001973627456,3.2053518418731866,Osteoporosis
Diabetes_Mellitus_Type_2,17885,9112,50.94772155437517,0.00373807063405287,Trials,50.940394935932424,50.95504817281792,Cardiovascular
Diabetes_Mellitus_Type_2,17885,2144,11.987699189264749,0.0024288188973423,Trials,11.982938704225957,11.992459674303538,Arthritis
Diabetes_Mellitus_Type_2,17885,2001,11.1881464914733,0.00235705690080203,Trials,11.183526659947727,11.192766322998873,Pain
Diabetes_Mellitus_Type_2,17885,1321,7.386077718758736,0.00195569264740299,Trials,7.382244561169826,7.389910876347646,Anxiety
Diabetes_Mellitus_Type_2,17885,1251,6.994688286273414,0.00190718835658209,Trials,6.990950197094513,6.998426375452315,Acid-related disease
Diabetes_Mellitus_Type_2,17885,638,3.5672351132233713,0.00138686345508454,Trials,3.5645168608514055,3.569953365595337,Asthma
Hypertension,6209,911,14.672249959735868,0.00449037566584711,Trials,14.663448823430809,14.681051096040926,Arthritis
Hypertension,6209,744,11.98260589466903,0.0041214407533915,Trials,11.974527870792382,11.990683918545676,Pain
Hypertension,6209,540,8.697052665485586,0.00357616557822911,Trials,8.690043380952257,8.704061950018914,Anxiety
Hypertension,6209,366,5.894669028829119,0.00298900055778002,Trials,5.88881058773587,5.900527469922368,Acid-related disease
Hypertension,6209,320,5.153808986954421,0.00280584241840906,Trials,5.148309535814339,5.159308438094503,Diabetes
Hypertension,6209,214,3.446609760025769,0.00231509592549009,Trials,3.4420721720118084,3.4511473480397297,Asthma
Osteoarthritis,1320,675,51.13636363636363,0.01375849235730082,Trials,51.10939699134333,51.16333028138394,Cardiovascular
Osteoarthritis,1320,428,32.42424242424242,0.01288378339889182,Trials,32.398990208780596,32.44949463970425,Acid-related disease
Osteoarthritis,1320,380,28.78787878787879,0.01246220320056986,Trials,28.763452869605672,28.812304706151902,Anxiety
Osteoarthritis,1320,323,24.46969696969697,0.01183281142846379,Trials,24.44650465929718,24.49288928009676,Thyroid disorders
Osteoarthritis,1320,106,8.030303030303031,0.00747999623375274,Trials,8.015642237684876,8.044963822921186,Diabetes
Osteoarthritis,1320,103,7.803030303030304,0.00738249233389899,Trials,7.788560618055862,7.817499988004745,Asthma
Osteoporosis,2055,1456,70.85158150851582,0.01002481482823134,Trials,70.8319328714525,70.87123014557915,Acid-related disease
Osteoporosis,2055,986,47.98053527980535,0.01102070990565127,Trials,47.95893468839027,48.00213587122043,Cardiovascular
Osteoporosis,2055,549,26.71532846715328,0.00976069896884742,Trials,26.69619749717434,26.734459437132223,Pain
Osteoporosis,2055,537,26.13138686131387,0.0096918188762839,Trials,26.112390896316356,26.150382826311382,Arthritis
