condition,mean,sd,CI2.5,CI97.5,repo,comorbidity,Var1,Var2
Diabetes_Mellitus_Type_2,0.03,0.014,-0.003,0.053,Community,Anxiety : Cardiovascular,Anxiety,Cardiovascular
Diabetes_Mellitus_Type_2,0.05,0.015,0.022,0.081,Community,Asthma : Cardiovascular,Asthma,Cardiovascular
Diabetes_Mellitus_Type_2,0.47,0.01,0.445,0.485,Community,Arthritis : Pain,Arthritis,Pain
Diabetes_Mellitus_Type_2,0.16,0.012,0.132,0.178,Community,Acid-related disease : Pain,Acid-related disease,Pain
Diabetes_Mellitus_Type_2,0.31,0.012,0.284,0.329,Community,Anxiety : Pain,Anxiety,Pain
Diabetes_Mellitus_Type_2,0.24,0.012,0.218,0.267,Community,Asthma : Pain,Asthma,Pain
Diabetes_Mellitus_Type_2,-0.26,0.012,-0.282,-0.236,Community,Acid-related disease : Arthritis,Acid-related disease,Arthritis
Diabetes_Mellitus_Type_2,0.14,0.013,0.116,0.166,Community,Anxiety : Arthritis,Anxiety,Arthritis
Diabetes_Mellitus_Type_2,0.1,0.013,0.076,0.128,Community,Arthritis : Asthma,Arthritis,Asthma
Diabetes_Mellitus_Type_2,0.14,0.013,0.115,0.165,Community,Acid-related disease : Anxiety,Acid-related disease,Anxiety
Diabetes_Mellitus_Type_2,0.12,0.014,0.089,0.144,Community,Acid-related disease : Asthma,Acid-related disease,Asthma
Diabetes_Mellitus_Type_2,0.17,0.014,0.143,0.196,Community,Anxiety : Asthma,Anxiety,Asthma
Hypertension,0.47,0.01,0.452,0.491,Community,Arthritis : Pain,Arthritis,Pain
Hypertension,0.16,0.013,0.134,0.184,Community,Acid-related disease : Pain,Acid-related disease,Pain
Hypertension,0.3,0.012,0.273,0.321,Community,Anxiety : Pain,Anxiety,Pain
Hypertension,0.24,0.013,0.22,0.27,Community,Asthma : Pain,Asthma,Pain
Hypertension,0.12,0.013,0.091,0.142,Community,Diabetes : Pain,Diabetes,Pain
Hypertension,-0.28,0.013,-0.304,-0.253,Community,Acid-related disease : Arthritis,Acid-related disease,Arthritis
Hypertension,0.13,0.014,0.104,0.156,Community,Anxiety : Arthritis,Anxiety,Arthritis
Hypertension,0.07,0.013,0.045,0.098,Community,Arthritis : Asthma,Arthritis,Asthma
Hypertension,0,0.014,-0.024,0.03,Community,Arthritis : Diabetes,Arthritis,Diabetes
Hypertension,0.18,0.014,0.151,0.204,Community,Acid-related disease : Anxiety,Acid-related disease,Anxiety
Hypertension,0.16,0.014,0.131,0.185,Community,Acid-related disease : Asthma,Acid-related disease,Asthma
Hypertension,0.08,0.014,0.056,0.113,Community,Acid-related disease : Diabetes,Acid-related disease,Diabetes
