terms
African
African American/African Heritage
african descent
black
Black
BLACK
Black African
Black or African American
BLACK OR AFRICAN AMERICAN
Black or African American / Native Hawaiian or Other Pacific Islander
Black/African Amer.
Black/African American
Colored African
Coloured African
AF
