chain,nctshrt,12,13,14,15,16,23,24,25,26,34,35,36,45,46,56
1,19,745,-1829,-1387,3350,1274.0000000000002,5380,3819,5067,-4939,-1522,26,-9232,207,-337.99999999999994,2316
1,20,-273,-1687,4100,2777,2688,3827,-794,1518,3254,-7092.000000000001,2957,-1047,2089,1501,1030
1,21,1074,1231,1341,2333,2117,3066.9999999999995,3895,3948,31,-1976,4344,-2836,3867.9999999999995,-1131,2234
1,22,155,472,1236,501,1343,4007,-1174,3793.0000000000005,-1948,-8637,786,91,19,-264,934
1,19,1253,-323,2069,3957,931,3185,4458,4355,-691,-1668,864,-216,798,-1723,4489
1,20,1895,246,4107,2784,1628,905,-988,1661,-501,-4749,1870,-92,5159,2387,-547
1,21,261,1153,1999,1718,2426,2617,2436,5121,1049,-5984,1736,-492.99999999999994,4069,252,2153
1,22,1221,1068,1308,1995,3469.9999999999995,5827,-2319,3086,-2304,-5274,1206,666.0000000000001,4546,1250,520
1,19,-886,-3296,-3481,4064.9999999999995,4849,5998,742,4227,2476,-3986,893,-2101,-2396,-548,6322
1,20,442.00000000000006,-1693,3886,2092,2.9999999999999996,1165,-120,-1532,1221,-7846.999999999999,1388,-1719,3595.9999999999995,3519,388.99999999999994
1,21,38,1487,2549,1071,1418,635,3146,3352,-2309,-1718,3041,-1043,3306,2310,3343.9999999999995
1,22,-143,-496,3495,-1705.0000000000002,1221,6349,1243,3943,1273,-673,4969,1174,-855.0000000000001,-1750,2283
1,19,-352,-1049,62,294,4588,3534,2512,2359,-4222,-5966,1778.0000000000002,-6665,-1153,6123,-1212
1,20,-343,-1452,5412,2656,-244.00000000000003,2693.9999999999995,-2392,3148.0000000000005,-51.00000000000001,-3643,1739,-3308,5392,1492.9999999999998,2241
1,21,526,1583,3038,1659,185.99999999999997,3244,2243,3953.9999999999995,61.00000000000001,-2097,-382,-2149,4454,857,4247
1,22,-761,2074,1820,-151,1236,4248,439,4971,-4008,-6377,1298.9999999999998,-742,-1243,1190,-1765
1,19,1782.9999999999998,-486,-290,4407,381,6032,3355,4850,-4646,855.0000000000001,2735,-6921.000000000001,511,258,-198.00000000000003
1,20,733,133,3011,1373,913.0000000000001,4535,-69,1434,2370,-3930,4045.0000000000005,3664,2688.9999999999995,532,6359
1,21,910,-509,2800.0000000000005,2241,913.0000000000001,1248,4429,4893,2327,-5506,-11.999999999999998,-2003,6555,-68,4027
1,22,-959,1926,252,-646.9999999999999,-937,4244,2777,5483,-4805,1831.0000000000002,671.0000000000001,112,2026,-2685,349
1,19,-7,-1312,772.9999999999999,5486,-954,4184,4028,2895,-2875,-3570.9999999999995,826.0000000000001,-4942,344,3323,3195
1,20,1249,-359,2098,1523,2380,1757,280,-140,3873,-5427.999999999999,932.9999999999999,902,4454,1568,-5.999999999999999
1,21,1829,2083,3597,2902,2126,2675,4201,4346,-912,-743,980,-2481,5182,-390,2435
1,22,-837,869,2120,-475,-214.99999999999997,5280,2077,4731,-1727,-4894,1581,1110,966,-3326,922.9999999999999
1,19,2612,-610,-396.00000000000006,4441,-644,5356,3489.9999999999995,3372,-5951,706,57,-1487.9999999999998,21,-1265,3767
1,20,665,-1827,4339,3075,-618,4862,-1378,2682,3499,-3110,2955.9999999999995,1986,3701.9999999999995,1009,2718
1,21,302,1739,1148,4108,213,1003,1413,3676,2374,-7528,388.99999999999994,-2028,4179,-877,3201
1,22,-1355,306,1767,657,-400.99999999999994,3532,-914,4636,-3907,-4947,969,-2096,-4261,-233,3179
1,19,2282,154,-1685,1566,2786,5034.999999999999,16,3414,-2792,-5619,-388,-6642,-1384,1939,5985
1,20,-190,-164,2950.9999999999995,2331,1686,1285,984,3251,1685,-6020,3018,-15,3574,4097,927.9999999999999
1,21,-115.99999999999999,1062,-146,2208,3159,1449,1246,4239,-194,-2798,2628,-1545,3205,-2200,4201
